2c968186/67cbe214/0167/cbf2ff05/0dbe;EHG00293;InterCityHotel Mainz;""
2c968186/67cbe214/0167/cbf2dc7b/0b8e;BAU00557;Grone Bildungszentrum gGmbH;""
2c968186/67cbe214/0167/cbf35f61/133a;ZZZ_2769;ZZZ_Alt_NTA Mainz GmbH;
2c968186/67cbe214/0167/cbf397b5/1698;EHG00383;Schwayer, GbR;""
2c968186/67cbe214/0167/cbf34c28/1218;EHG00401;Metzgerei Weil;""
2c968186/67cbe214/0167/cbf31a7b/0f55;BAU0469;Jakob Kraft GmbH;
2c968186/67cbe214/0167/cbf2b424/0929;BAU00213;F. J. Ballmann GmbH;
2c968186/67cbe214/0167/cbf3725c/1461;ME2011113;Löhr Sportfahrzeuge Vertriebs-GmbH Mainz;Porsche Zentrum Mainz
2c968186/67cbe214/0167/cbf367fc/13c6;EHG00367;Parkhotel Schillerhain;""
2c96949a/8ad13efa/018a/d6490928/00e4;EL3494940;Elektro Den Dulk;
2c968186/67cbe214/0167/cbf2d632/0b29;MED00230;Global Brand Concepts GmbH;""
2c968186/67cbe214/0167/cbf2af91/08e1;EL000205;etealarm;Ges. für elektronische Sicherungsanlagen
2c968186/67cbe214/0167/cbf3dcab/1ab2;BAU00441;Zimmerei Thorsten Degreif;""
2c968186/67cbe214/0167/cbf34ad0/1201;EHG00560;Metzgerei Stefan Löffler;""
2c968186/67cbe214/0167/cbf3965d/1682;EL00122;Schué Sanitär Heizung Elektrik;""
2c968186/67cbe214/0167/cbf318a7/0f34;ZZZ_EHG00376;ZZZ_Alt_Konditorei Purer Genuss;
2c968186/67cbe214/0167/cbf23584/01fa;ME201179;Holger Braun Kfz-Meisterbetrieb;Auto im Glück - Autowerkstatt
2c96949d/7569912b/0175/699574fc/0025;EHG01005;Soonwald-Bäckerei Grünewald GmbH;
2c968186/67cbe214/0167/cbf2fe98/0db7;EL000190;Institut für Molekulare Biologie gGmbH;""
2c968186/67cbe214/0167/cbf3b379/184d;EL000195;Thomas L'habitant;Elektrotechnik
2c9681e7/74be82d5/0174/be99c0aa/001c;MED201111;Spurensicherung und Volkstheater auf dem Land e.V.;
