1027_25102004;25102004;Industriemechaniker/Industriemechanikerin;2c96949a/82c4171b/0182/ca67ebe6/053f
1027_33112001;33112001;Fliesen-, Platten- und Mosaikleger/Fliesen-, Platten- und Mosaiklegerin;2c96e486/82a1dc73/0182/cf8f2765/1aef
1027_43112003-DP;43112003-DP;Fachinformatiker/Fachinformatikerin - Fachrichtung Daten- und Prozessanalyse;2c96e486/915515a9/0191/6fd88677/32fd
1027_43112003-DP;43112003-DP;Fachinformatiker/Fachinformatikerin - Fachrichtung Daten- und Prozessanalyse;2c96949a/82c4171b/0182/c9f1603d/02cb
1027_62312001-BA;62312001-BA;Fachverkäufer im Lebensmittelhandwerk/Fachverkäuferin im Lebensmittelhandwerk - Schwerpunkt Bäckerei;2c96949d/82fd3274/0183/0d71d893/0778
1027_21232001-SA;21232001-SA;Steinmetz und Steinbildhauer/Steinmetzin und Steinbildhauerin - Fachrichtung Steinmetzarbeiten;2c969491/8b5b2791/018b/6179a60d/2672
1027_24512003-FM;24512003-FM;Feinwerkmechaniker/Feinwerkmechanikerin - Schwerpunkt Feinmechanik;2c96949a/8a3b1fbe/018a/3b842163/06d6
1027_29232003;29232003;Fleischer/Fleischerin;2c96e486/915515a9/0191/740eeed1/0454
1027_43412002-AE;43412002-AE;Fachinformatiker/Fachinformatikerin - Fachrichtung Anwendungsentwicklung;2c96949a/82c4171b/0182/ca519b1f/0452
1027_21232001-SA;21232001-SA;Steinmetz und Steinbildhauer/Steinmetzin und Steinbildhauerin - Fachrichtung Steinmetzarbeiten;2c969491/835f9bcc/0183/5ffe2d5d/007a
1027_33112001;33112001;Fliesen-, Platten- und Mosaikleger/Fliesen-, Platten- und Mosaiklegerin;2c96e486/82a1dc73/0182/cf8f263c/1a0b
1027_32222002;32222002;Straßenbauer/Straßenbauerin;2c969491/8a46018e/018a/46afe0e1/016c
1027_94512001;94512001;Fachkraft für Veranstaltungstechnik;2c969491/7b768fde/017b/77e1e35a/0464
1027_43232005-DS;43232005-DS;Kaufmann für IT-System-Management/Kauffrau für IT-System-Management (+ duales Studium);2c96e486/915515a9/0191/7476e47a/73d4
1027_43102001-SI;43102001-SI;Fachinformatiker/Fachinformatikerin - Fachrichtung Systemintegration;2c96949a/825809e0/0182/62dc214d/01da
1027_25212013-PT;25212013-PT;Kraftfahrzeugmechatroniker/Kraftfahrzeugmechatronikerin - Schwerpunkt Personenkraftwagentechnik;2c9681fa/73fad7b4/0173/fc939bce/057b
1027_43102001-SI;43102001-SI;Fachinformatiker/Fachinformatikerin - Fachrichtung Systemintegration;2c96e486/8e9f3c53/018e/a7e771bc/7c34
1027_99000100-BJ;99000100-BJ;BVJ;2c96e486/8a236187/018a/3b0c69b3/5aba
1027_25102004;25102004;Industriemechaniker/Industriemechanikerin;2c96949a/8a3b1fbe/018a/3b58feca/04b4
1027_26112002;26112002;Mechatroniker/Mechatronikerin;2c96949a/8a2b5ced/018a/2c5d675e/07fb
1027_43102001-SI;43102001-SI;Fachinformatiker/Fachinformatikerin - Fachrichtung Systemintegration;2c968105/74b96c74/0174/ba3a5c28/1a6c
1027_26112002;26112002;Mechatroniker/Mechatronikerin;2c9681fa/73b8322c/0173/b8c3c3bf/01ee
1027_26212006-EG;26212006-EG;Elektroniker/Elektronikerin - Fachrichtung Energie- und Gebäudetechnik;2c96949a/91556836/0191/93ea09b1/1cc3
1027_25102004;25102004;Industriemechaniker/Industriemechanikerin;2c96949a/8a924c4b/018a/93165c48/01a6
1027_21232001-SA;21232001-SA;Steinmetz und Steinbildhauer/Steinmetzin und Steinbildhauerin - Fachrichtung Steinmetzarbeiten;2c969491/7d9dd747/017d/9f640734/0a6b
1027_26213001;26213001;Elektroniker für Betriebstechnik/Elektronikerin für Betriebstechnik;2c96e486/915515a9/0191/74656e85/7a35
1027_25102004;25102004;Industriemechaniker/Industriemechanikerin;2c96e486/915515a9/0191/6a019d0b/2fed
1027_26212006-EG;26212006-EG;Elektroniker/Elektronikerin - Fachrichtung Energie- und Gebäudetechnik;2c969491/7b7c37a5/017b/7c720f0a/018b
1027_27212001-AT;27212001-AT;Bauzeichner/Bauzeichnerin - Schwerpunkt Architektur;
1027_25212009-KI;25212009-KI;Karosserie- und Fahrzeugbaumechaniker/Karosserie- und Fahrzeugbaumechanikerin - Fachrichtung Karosserieinstandhaltungstechnik;2c9681f6/6c658335/016c/6592605c/001b
1027_32222002;32222002;Straßenbauer/Straßenbauerin;2c969491/8804bd04/0188/04f5383c/0049
1027_32122001;32122001;Maurer/Maurerin;2c969491/7d9402d2/017d/94043994/0004
1027_43102001-SI;43102001-SI;Fachinformatiker/Fachinformatikerin - Fachrichtung Systemintegration;2c96949a/8a21e3d2/018a/224ece07/00a8
1027_43102001-SI;43102001-SI;Fachinformatiker/Fachinformatikerin - Fachrichtung Systemintegration;2c969491/7b80dd38/017b/80de5c0d/0004
1027_63222001;63222001;Hotelfachmann/Hotelfachfrau;2c96949d/88d314cf/0188/dd3c4768/0143
1027_94532002;94532002;Mediengestalter Bild und Ton/Mediengestalterin Bild und Ton;2c969491/7b739c92/017b/73cdba87/0077
1027_99000100-BJ;99000100-BJ;BVJ;2c969491/8a3af6da/018a/405662e4/01be
1027_43102001-SI;43102001-SI;Fachinformatiker/Fachinformatikerin - Fachrichtung Systemintegration;2c969491/7b80dd38/017b/82032851/04dd
1027_29222001;29222001;Bäcker/Bäckerin;2c9694ae/81d74485/0181/d80589c0/0022
1027_43102001-SI;43102001-SI;Fachinformatiker/Fachinformatikerin - Fachrichtung Systemintegration;2c969491/7b80dd38/017b/8217217d/058c
1027_26213001;26213001;Elektroniker für Betriebstechnik/Elektronikerin für Betriebstechnik;2c96949a/8af9ff47/018b/03e3a41a/012b
1027_24512003-FM;24512003-FM;Feinwerkmechaniker/Feinwerkmechanikerin - Schwerpunkt Feinmechanik;2c96949a/7b5cf90b/017b/5de58d96/0215
